fuelModelType,loadLitter,load1hr,load10hr,load100hr,loadLiveHerb,loadLiveWoody,savLitter,sav1hr,sav10hr,sav100hr,savLiveHerb,savLiveWoody,fuelBedDepth,mxDead,heat,description,slope,totalLoad_g_m2,CWDSource,herbSource
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,32.75,15,16890,226A,2.3,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.16189488,0.253861745,0,0,0,0,2093,358,98,5906,2093,22.6875,15,16890,226G,5,41.5756625,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,40.8125,15,16890,227A,6,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,28.6875,15,16890,227G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.161665051,0.761065928,0,0,0,0,2093,358,98,5906,2093,22.3125,15,16890,228A,3.3,92.2730979,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,30.8125,15,16890,228G,0,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.080815365,0.253659081,0,0,0,0,2093,358,98,5906,2093,40.8125,15,16890,229A,2,33.4474446,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,31.625,15,16890,229G,7,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,40.4375,15,16890,230A,0,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.080894062,0.253747766,0,0,0,0,2093,358,98,5906,2093,36.1875,15,16890,230G,4,33.4641828,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.080894062,0.254000982,0,0,0,0,2093,358,98,5906,2093,29.375,15,16890,231A,5,33.4895044,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0.760850512,0,0,0,0,2093,358,98,5906,2093,24.3125,15,16890,231G,2,76.0850512,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,41.25,15,16890,232A,2,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.282822482,1.268105308,0,0,0.190106734,0,2093,358,98,5906,2093,36.25,15,16890,232G,2,174.1034524,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,39.8125,15,16890,233A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.080793153,0,0,0,0,0,2093,358,98,5906,2093,41.875,15,16890,233G,1,8.0793153,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,30.125,15,16890,234A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,35.8125,15,16890,234G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0.02310863,0,2093,358,98,5906,2093,35.4375,15,16890,235A,1,2.310863,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,32.1875,15,16890,235G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0.016934878,0,2093,358,98,5906,2093,35,15,16890,236A,1,1.6934878,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,33.25,15,16890,236G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,34.875,15,16890,237A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,36.4375,15,16890,237G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,61.5625,15,16890,238A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,15.0625,15,16890,238G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.040402635,0,0,0,0,0,2093,358,98,5906,2093,37.75,15,16890,239A,1.3,4.0402635,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.080934404,0,0,0,0,0,2093,358,98,5906,2093,23.5,15,16890,239G,2.7,8.0934404,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0.253557688,0,0,0,0,2093,358,98,5906,2093,71.125,15,16890,240A,1,25.3557688,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.12118973,0,0,0,0,0,2093,358,98,5906,2093,71.6875,15,16890,240G,1,12.118973,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0.253747766,3.035121423,0,0,0,2093,358,98,5906,2093,59.8125,15,16890,241A,2,328.8869189,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.161586307,0.507115377,0,0,0,0,2093,358,98,5906,2093,53.125,15,16890,241G,1,66.8701684,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,54.1875,15,16890,242A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0.08080527,1.014382861,0,0,0,0,2093,358,98,5906,2093,57.5625,15,16890,242G,2,109.5188131,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,38.5625,15,16890,243A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,51.25,15,16890,243G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,58.375,15,16890,244A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,37.625,15,16890,244G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,33,15,16890,245A,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0,0,0,0,0,0,0,2093,358,98,5906,2093,38,15,16890,245G,1,0,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
